('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         1035302 function calls (1011084 primitive calls) in 1.833 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      218    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    1.127    1.127 sessions.py:673(send)
      198    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      198    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      112    0.000    0.000    0.003    0.000 _htmlparser.py:127(handle_startendtag)
      504    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      211    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
      167    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      520    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      318    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        2    0.000    0.000    0.413    0.207 __init__.py:209(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
       75    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       29    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
      343    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      176    0.000    0.000    0.007    0.000 _parser.py:98(closegroup)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:569(parse_pseudo_class)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      402    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:45(NoBoundaryInMultipartDefect)
      200    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
        1    0.000    0.000    0.003    0.003 css_types.py:1(<module>)
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.932    0.932 connection.py:485(getresponse)
       44    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      111    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
    30/17    0.000    0.000    0.169    0.010 {built-in method builtins.__import__}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
       39    0.000    0.000    0.119    0.003 models.py:816(generate)
      215    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:732(parse_pseudo_open)
      513    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.060    0.060 css_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       25    0.000    0.000    0.000    0.000 _collections.py:300(add)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       39    0.000    0.000    0.119    0.003 response.py:1044(stream)
  133/115    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
        4    0.000    0.000    0.000    0.000 message.py:529(get_all)
       30    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
      265    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
